F1,F2,F3,F4,TARGET,X,Y
2.71E-20,2,13,18,5,-149,166
6.94E-18,2,12,15,5,-153,165
1.08E-19,5.29E-22,13,17,5,-150,165
3.18E-22,5,17,26,5,-147,154
2.17E-19,2,14,18,5,-143,149
14,2,20,35,5,-149,143
1.32E-23,2,15,21,5,-146,145
34,8,32,57,5,-103,118
19,2,23,39,5,-125,131
19,5,20,32,5,-146,145
4.34E-19,5,18,29,5,-146,146
32,2,22,35,5,-156,149
5.42E-20,2,19,33,5,-158,154
4.24E-22,2,18,32,5,-158,155
3.47E-18,2,17,23,5,-157,159
3.39E-21,2,18,29,5,-157,158
8.67E-19,2,17,35,5,-156,152
1.02E-20,5,19,37,5,-153,152
6,2,17,30,5,-154,155
17,2,21,41,5,-160,153
4.34E-19,2,17,30,5,-153,151
43,2,25,42,5,-153,143
26,2,20,38,5,-144,141
29,5,21,39,5,-160,154
5,2,19,35,5,-154,152
6,2,17,35,5,-149,149
1.19E-07,2,18,33,5,-143,145
2.78E-17,2,13,23,5,-156,156
4,5,18,30,5,-151,152
8,2,19,33,5,-143,145
9.09E-13,2,14,28,5,-147,145
4.16E-17,5,16,22,5,-141,143
1.39E-17,5,17,28,5,-146,148
8.13E-20,5,18,22,5,-149,150
6.94E-18,5,17,12,5,-142,146
2.60E-18,2,17,17,5,-148,154
1.08E-19,2,16,18,5,-152,153
1,2,17,24,5,-143,144
4.55E-13,2,16,20,5,-145,146
8.47E-22,5,16,19,5,-152,152
6.94E-18,2,15,17,5,-150,154
2.60E-18,2,17,22,5,-149,151
6.94E-18,2,17,22,5,-154,155
2.71E-20,2,14,17,5,-146,149
15,2,19,33,5,-140,139
5.42E-20,5,16,22,5,-146,144
25,2,20,33,5,-136,137
7,5,16,27,5,-116,126
9,5,18,31,5,-129,133
5.55E-17,2,17,22,5,-146,147
2.71E-20,5,20,21,5,-140,141
6.94E-18,2,17,28,5,-146,148
11,5,20,33,5,-135,137
8.67E-19,2,17,18,5,-144,147
1.73E-17,1,17,18,5,-146,155
8.33E-17,0.25,16,18,5,-142,150
1.11E-16,2,19,23,5,-143,146
30,5,24,42,5,-128,131
1.19E-20,0.5,15,8,5,-151,151
90,5,25,39,5,-96,121
15,5,21,29,5,-118,119
21,8,21,22,5,-108,115
100,100,100,100,5,-107,114
100,100,100,98,5,-112,117
9,5,17,18,5,-125,126
40,10,26,49,5,-63,85
44,8,23,44,5,-126,-120
6,2,15,13,5,-144,-157
17,5,21,27,5,-128,-122
16,5,22,34,5,-132,-122
23,8,21,35,5,-132,-128
3,8,20,29,5,-118,-112
20,8,25,59,5,-132,-113
40,2,22,42,5,-140,-142
17,5,20,40,5,-133,94
14,5,23,32,5,-145,-155
11,5,21,17,5,-149,171
18,5,20,29,5,-139,142
14,5,21,22,5,-140,148
13,8,22,20,5,-141,150
3,2,19,17,5,-147,157
8,8,23,29,5,-149,-167
13,5,17,24,5,-148,171
2.39E-18,5,17,28,5,-130,134
52,10,25,52,5,-56,104
32,8,22,42,5,-77,111
27,5,21,21,5,-104,108
10,5,20,18,5,-116,111
7,5,18,14,5,-126,120
9,5,20,25,5,-141,145
1,2,18,25,5,-141,152
8,5,17,37,5,-138,145
1.11E-16,5,19,14,5,-139,152
4,8,23,31,5,-128,104
6,8,20,20,5,-134,128
48,5,23,40,5,-122,92
11,5,20,32,5,-133,133
3.47E-18,2,18,17,5,-135,136
3.47E-18,2,15,16,5,-147,170
7,2,16,24,5,-137,138
12,5,17,27,5,-143,161
11,5,18,24,5,-130,127
7,5,20,21,5,-134,135
1,2,17,18,5,-134,135
7,5,21,31,5,-139,146
16,2,15,9,5,-143,143
23,5,21,16,5,-135,134
32,5,16,31,5,-143,143
48,7,17,24,5,-127,129
40,7,18,25,5,-112,121
90,100,90,86,1,12,-2
86,100,96,85,1,9,5
89,100,90,89,1,8,2
79,100,90,84,1,0,7
91,100,96,86,1,0,8
93,100,93,82,1,0,6
100,100,93,80,1,-2,7
100,100,93,90,1,-1,6
97,100,96,91,1,-1,13
84,100,96,90,1,-2,8
99,100,100,90,1,-1,8
92,100,93,86,1,-2,5
100,100,96,91,1,-1,10
80,100,96,87,1,-1,13
97,100,96,88,1,-1,11
96,100,96,89,1,-2,1
72,81,93,83,1,-2,10
76,80,96,86,1,-1,15
75,85,100,83,1,0,8
85,87,100,76,1,0,11
92,98,100,88,1,3,10
76,98,96,89,1,3,8
88,90,100,86,1,2,13
80,92,100,88,1,0,15
82,91,100,83,1,3,12
88,90,100,83,1,2,12
89,91,100,75,1,2,14
79,100,100,86,1,2,10
80,100,100,89,1,1,12
91,100,100,73,1,2,13
84,100,100,82,1,2,14
85,100,100,80,1,3,15
82,71,100,82,1,2,13
79,100,100,84,1,2,11
79,87,100,87,1,2,9
80,93,100,86,1,3,8
83,88,100,76,1,2,9
91,90,100,89,1,3,9
84,92,100,83,1,3,13
79,100,100,84,1,2,10
100,100,100,73,1,2,5
93,100,100,73,1,1,7
76,100,100,86,1,3,8
80,98,100,74,1,3,6
82,93,100,70,1,2,8
78,100,100,82,1,1,8
83,100,100,72,1,2,7
87,100,100,89,1,2,9
90,100,100,89,1,1,6
78,100,100,89,1,0,4
93,78,100,90,1,1,3
86,100,93,91,1,0,3
97,100,93,94,1,0,5
100,100,100,94,1,0,5
100,88,96,93,1,-3,8
80,85,100,93,1,-2,7
100,75,100,93,1,-3,2
100,62,100,93,1,-1,8
100,91,100,97,1,-1,10
100,100,100,93,1,-2,7
100,100,100,94,1,-1,7
87,100,100,93,1,0,10
93,100,100,92,1,-1,9
97,100,100,93,1,0,10
96,97,100,94,1,0,13
90,100,100,94,1,0,6
100,88,100,96,1,0,11
97,100,100,95,1,0,11
90,100,100,94,1,-1,13
91,95,100,94,1,0,13
98,100,100,94,1,0,9
100,96,100,94,1,0,10
85,96,100,94,1,0,12
92,100,100,91,1,0,12
82,92,100,93,1,-1,11
91,100,100,93,1,0,12
85,100,100,93,1,0,10
100,92,100,94,1,-2,12
100,98,100,94,1,-2,17
100,98,100,94,1,-1,13
100,90,100,98,1,-2,20
100,96,100,99,1,-2,11
100,90,100,98,1,-2,10
100,90,100,100,1,-3,11
100,96,100,100,1,-3,10
100,93,100,99,1,14,4
100,93,100,100,1,11,10
100,93,100,100,1,11,8
100,96,100,100,1,13,4
100,96,100,100,1,10,-2
100,100,100,100,1,11,1
100,93,100,100,1,5,11
100,96,100,100,1,7,8
100,96,100,100,1,5,8
100,96,100,100,1,5,12
100,96,100,100,1,5,12
81,93,100,98,1,7,11
80,96,100,100,1,4,15
85,100,100,100,1,4,14
87,100,100,100,1,7,3
98,100,100,100,1,6,8
98,96,100,100,1,5,8
90,100,100,99,1,5,10
92,100,100,100,1,8,1
91,100,100,100,1,6,7
90,100,100,100,1,6,6
91,100,100,100,1,8,1
100,100,100,100,1,6,5
100,100,100,97,1,6,4
100,100,100,99,1,6,9
100,100,100,100,1,5,9
100,100,100,98,1,8,3
71,100,100,99,1,6,5
100,100,100,100,1,7,1
87,100,100,100,1,6,4
93,100,100,100,1,7,7
88,100,100,100,1,6,6
90,100,100,100,1,7,6
92,100,100,100,1,10,6
100,100,100,100,1,6,11
100,100,100,100,1,7,14
100,100,100,100,1,5,15
100,100,100,100,1,4,11
98,100,100,100,1,3,14
93,100,100,100,1,7,0
100,100,100,100,1,3,4
100,100,100,100,1,4,3
100,100,100,100,1,3,7
100,100,100,100,1,6,3
100,100,100,100,1,6,2
78,100,100,96,1,5,3
100,93,100,97,1,5,3
100,93,100,96,1,5,4
100,100,100,97,1,5,8
88,96,100,97,1,5,6
85,100,100,99,1,4,7
75,100,100,100,1,5,6
62,100,100,100,1,5,7
91,100,100,100,1,4,5
100,100,100,100,1,4,7
100,100,100,100,1,4,6
100,100,100,100,1,2,7
100,100,100,100,1,2,8
100,100,100,100,1,3,6
97,100,100,100,1,2,8
100,100,100,100,1,4,7
88,100,100,100,1,4,3
100,100,100,100,1,4,7
100,100,100,100,1,5,7
95,100,100,100,1,4,8
100,100,100,100,1,4,9
96,100,100,100,1,4,8
96,100,100,100,1,5,7
100,100,100,100,1,4,10
92,100,100,100,1,4,6
100,100,100,100,1,4,7
100,100,100,100,1,4,5
92,100,100,100,1,4,7
98,100,100,100,1,3,10
98,100,100,100,1,4,7
4,7.11E-15,3.33E-16,6.11E-16,2,-157,157
3.31E-24,1.11E-16,2.65E-23,1.99E-23,2,-154,145
1.24E-24,11,6.20E-25,5.17E-25,2,-153,143
4.04E-27,11,4.14E-24,1.65E-24,2,-151,140
17,5,1,1.03E-24,2,-165,170
17,5,6.62E-24,1.32E-23,2,-162,163
25,5,1,1.36E-20,2,-169,165
25,8,4,1.32E-23,2,-169,169
41,5,2,3.88E-26,2,-156,146
3.23E-26,11,4.14E-25,1.14E-24,2,-29,112
1.82E-27,11,2.58E-26,3.88E-26,2,-81,121
2.69E-24,5,6.62E-24,4.55E-24,2,-82,120
1.32E-22,8,2.12E-22,1.59E-22,2,-85,120
3.31E-23,8,7.94E-23,3.97E-23,2,-122,128
8.48E-27,11,1.03E-25,3.10E-25,2,-70,118
3.31E-23,5,2.12E-22,2.12E-22,2,-142,139
5.96E-23,8,2.12E-22,2.65E-22,2,-89,119
2.65E-28,5,8.08E-28,1.21E-27,2,-118,126
3.31E-24,7.24E-25,4.96E-24,6.62E-24,2,-108,123
3.31E-24,1.03E-24,1.32E-23,1.49E-23,2,-120,127
3.52E-24,3.23E-25,1.99E-23,3.64E-23,2,-113,124
2.48E-24,5,9.93E-24,2.90E-24,2,-128,131
5.17E-26,5,1,2.65E-23,2,-122,128
4.76E-22,2.12E-22,1.27E-21,1.69E-21,2,-110,122
3.03E-28,2,7.75E-26,4.52E-26,2,-114,124
4.76E-22,5,2.12E-22,2.12E-22,2,-110,126
1.29E-26,5,5.17E-26,5.17E-26,2,-95,122
4.30E-23,5,2.65E-23,3.64E-23,2,-104,123
2.65E-23,11,5.29E-23,6.62E-24,2,-101,122
4.14E-25,5,1,8.27E-25,2,-117,127
8.27E-25,5,3.31E-24,1.03E-25,2,-118,127
4.96E-24,8,1.32E-23,1.32E-23,2,-123,129
1.08E-18,5,2.60E-18,3.04E-18,2,-135,136
2.58E-25,8,2,1.03E-24,2,-118,127
2.58E-26,11,1,2.58E-25,2,-119,128
1.69E-21,1,1.08E-19,4.07E-20,2,-144,144
1.06E-22,0.5,6.35E-22,1.59E-22,2,-143,141
0,2,1,3.16E-30,2,-138,138
4.24E-22,8,1,8.47E-22,2,-149,146
3.31E-24,5,4,2.12E-22,2,-150,139
3.31E-23,8,5,1.06E-22,2,-132,134
2.12E-22,5,6,8.47E-22,2,-159,-145
4.14E-25,8,4,4.14E-25,2,-101,126
1.86E-24,8,1,4.63E-23,2,-77,123
8.27E-24,5,2.12E-22,4.24E-22,2,-77,123
1.59E-22,11,4.24E-22,7.41E-22,2,-94,124
2.33E-25,8,1.65E-24,4.14E-25,2,-95,126
1.36E-20,8,1,1.29E-25,2,-107,124
5.08E-21,8,1.69E-21,2.54E-21,2,-114,127
1.65E-24,5,2,8.27E-25,2,-121,129
4.24E-22,8,2,2.12E-22,2,-117,127
6.78E-21,5,1,1.36E-20,2,-131,133
4.24E-22,7.28E-12,1.69E-21,3.71E-22,2,-134,135
1,9.09E-13,3,1.65E-24,2,-139,138
8.47E-21,3.31E-24,3,1.59E-22,2,-143,143
8.67E-19,5,2,2.03E-20,2,-141,140
1.69E-21,5,1,4.66E-21,2,-146,148
1.03E-25,8,2.07E-25,4.14E-25,2,-128,131
1.36E-19,8,3.25E-19,2.71E-19,2,-133,135
2.17E-19,2,1.08E-19,1.49E-19,2,-146,143
2.17E-19,5,1.63E-19,1.08E-19,2,-124,130
1.06E-22,2,3,6.62E-24,2,-149,146
1.06E-22,5,1,3.31E-24,2,-137,136
1.94E-26,11,2,2.07E-25,2,-146,142
1.36E-20,5,5.42E-20,4.74E-20,2,-135,136
2.48E-24,0.3125,1,4.14E-25,2,-140,139
5.42E-19,2,4.34E-19,1.63E-19,2,-154,154
1.06E-22,8,3.18E-22,5.29E-22,2,-103,120
6.78E-21,8,1,3.39E-21,2,-113,124
6.78E-21,11,1,1.99E-23,2,-110,124
1.32E-23,8,2,1.32E-23,2,-114,124
3.18E-22,11,8.47E-22,1.06E-22,2,-113,124
2.12E-22,8,1,6.35E-22,2,-120,126
5.42E-19,8,6.51E-19,6.51E-19,2,-121,127
5.29E-22,11,3,5.29E-22,2,-113,123
2.65E-23,11,1,4.63E-23,2,-88,119
1.69E-21,8,1.69E-21,4.24E-22,2,-109,121
1.03E-25,11,4,6.62E-24,2,-117,125
6.62E-24,14,10,4,2,-62,114
1,8,2.71E-20,5.42E-20,2,-127,130
1.29E-26,11,3,2.58E-26,2,-112,124
1.06E-22,8,2.12E-22,1.32E-22,2,-120,127
1.32E-23,8,4,6.62E-24,2,-126,129
4.14E-25,11,1,8.27E-24,2,-86,115
5.08E-21,11,1.02E-20,6.78E-21,2,-103,120
1.06E-22,2,1.65E-24,4.96E-24,2,-125,129
3.31E-23,11,2,1.65E-24,2,-128,130
3.39E-21,8,8.47E-22,1.27E-21,2,-120,125
1.29E-25,14,4,1.94E-26,2,-123,122
6.88E-22,11,1,2.12E-22,2,-123,128
8.47E-22,11,1,1.69E-21,2,-154,166
2.12E-22,8,8.47E-22,8.47E-22,2,-155,167
1.73E-18,8,2,7.59E-19,2,-153,169
2.12E-22,11,2,2.12E-22,2,-156,154
1,11,6,8.27E-24,2,-159,122
1.32E-23,11,1,6.62E-23,2,-155,168
1.69E-20,8,4.07E-20,4.74E-20,2,-139,140
