F1,F2,F3,F4,X,Y,TARGET
18,33,11,14,-165,169,2
17,43,25,15,-170,163,2
18,35,19,18,-164,163,2
21,43,9,19,-170,163,2
22,43,24,15,-171,172,2
19,29,4.63E-23,18,-100,174,2
21,29,12,19,-172,148,2
19,6,6,12,-166,157,2
17,43,7,12,-140,167,2
14,39,19,15,171,161,2
12,27,18,11,150,149,2
18,41,24,18,159,162,2
25,43,16,15,147,159,2
18,31,14,16,-165,-159,2
17,27,19,15,-165,50,2
18,43,27,17,-169,173,2
18,27,16,16,-170,140,2
17,43,12,18,-128,171,2
20,14,25,17,-72,170,2
21,29,9,23,-165,169,2
18,18,29,18,-95,166,2
18,0.00378418,17,17,-121,162,2
18,33,9,18,11,161,2
25,43,11,20,121,167,2
19,43,4,17,-151,171,2
17,43,34,13,-138,168,2
20,43,33,17,-54,167,2
21,43,27,17,-160,169,2
21,43,29,20,-169,171,2
14,43,22,10,45,159,2
18,43,29,18,-160,171,2
10,1.43E-17,22,19,-165,167,2
21,22,34,18,-163,161,2
20,14,14,18,-141,167,2
20,0.00088501,19,20,-166,163,2
23,39,27,24,-170,163,2
18,22,34,18,-165,161,2
27,43,25,20,-169,157,2
23,0.046875,28,20,-166,170,2
28,39,32,22,-165,164,2
28,39,30,25,167,158,2
28,41,30,22,-145,164,2
32,17.5,30,25,-56,162,2
31,31,29,24,-140,165,2
37,43,37,30,-149,163,2
34,9.30E-06,27,25,-168,167,2
30,0.002441406,32,33,-156,172,2
28,43,23,22,-161,168,2
23,27,29,21,-165,161,2
23,8.61E-09,24,22,86,162,2
27,0.5625,22,18,-145,154,2
30,10.25,30,20,-120,160,2
25,0.021972656,27,16,-156,154,2
27,22,33,22,-167,170,2
19,29,34,24,-158,156,2
25,29,38,22,-160,156,2
30,29,19,32,-170,166,2
30,39,33,27,-166,164,2
31,43,19,27,-164,168,2
29,35,19,27,-167,166,2
26,37,28,25,-169,170,2
27,37,28,22,-144,165,2
30,14,17,32,-163,136,2
31,2,23,31,-166,167,2
39,41,30,33,-154,164,2
29,3.64E-12,29,37,-164,170,2
31,4,35,34,-167,168,2
27,43,38,29,-152,167,2
30,41,33,27,-145,170,2
30,27,8,27,-164,170,2
27,27,25,19,-165,171,2
29,12,22,25,-163,174,2
23,8,22,20,-158,164,2
23,8.25,17,18,-149,169,2
31,43,30,22,-163,167,2
28,22,28,25,-168,167,2
27,37,27,25,-154,159,2
30,43,33,25,-166,168,2
30,22,37,25,-166,168,2
29,43,40,26,-165,171,2
26,29,37,18,-159,173,2
38,0.018066406,34,33,-162,165,2
21,33,34,20,-119,162,2
15,39,19,18,45,170,2
23,43,28,25,-162,165,2
31,20,38,22,-160,171,2
19,10.25,30,18,-158,167,2
26,29,35,25,-163,165,2
26,27,37,25,-105,167,2
25,43,35,29,-167,168,2
20,33,33,27,-157,171,2
29,29,34,29,-169,170,2
28,8.58E-06,35,34,-166,169,2
25,29,29,28,-162,173,2
27,22,35,34,-167,173,2
22,2.91E-13,30,25,-168,175,2
23,43,32,25,-149,144,2
22,39,30,21,-163,168,2
28,18,37,27,-159,164,2
25,0.13671875,34,17,-109,158,2
32,8,40,28,-154,165,2
32,43,28,27,-164,164,2
28,41,34,28,-165,168,2
31,43,35,22,-129,157,2
32,43,34,24,-147,164,2
